date, value, description, donor_id,judge_id 
1/20/11, 55.00, dinner - judge's night, 266, 951
8 23 11, 59.00, ballgame, 267, 951
2/18/11, 150, seminar, 268, 951
8/23/11, 50.00, dinner- ballgame, 269, 951
11/18/11, 250.00, north butte county, 63, 953
, , courthouse print, 63, 953
, , by jake early, 63, 953
06/11, 65, dinner, 270, 961
10/1/11, 2120, usc football tickets, 271, 974
, 200, tickets, 271, 974
03/31/11, 19.00, dinner, 272, 976
03 31 11, 13.90, leather journal, 272, 976
04/27/11, 20.00, reception, 272, 976
11/03/11, 95, ticket to annual dinner, 273, 984
12/25/11, 45, gavel, 274, 984
12/25/11, 45, tote bag, 275, 984
12/25/11, 50, cookbook, 276, 984
6/17/11, 100.00, attend alumni event, 277, 991
9/21/11, 100.00, meal at bldg. dedicatio, 278, 991
6/4/11, 60.00, litigation sec.dinner, 213, 991
1/26/11, 40.00, bench-bar lunch, 213, 991
9/16/11, 115.00, concert tickets & food, 214, 991
3/11/11, 120.00, meals at board retreat, 215, 991
5/14/11, 100.00, meals at graduation, 215, 991
12/1/11, 70.00, dinner at board mtg. , 215, 991
3/17/11, 80.00, attend board dinner, 279, 991
, 75, food, 280, 993
06/15/11, 95.00, reception, 8, 995
07/27/11, 95.00, reception, 281, 995
02/24/11, 75, dinner, 282, 997
06/09/11, 150.00, dinner, 283, 999
10/8/11, 250.00, accommodations, 284, 1019
01/11, 50.00, dinner judge's night, 69, 1038
12 /  /11, 150.00, 2 tickets christmas, 285, 1038
, , awards banquet, 285, 1038
05/19/11, 75.00, dinner oc women, 286, 1038
, , lawyers annual dinner, 286, 1038
11/17/11, 50.00, tustiin mayor's breakfst, 158, 1038
12/18/11, 98, chargers ticket, 287, 1042
2/10/11, 15, son's b-day, 288, 1045
12 27 11, 15, daughter's b-day, 288, 1045
2/10/11, 20, son's b-day, 289, 1045
12/25/11, 100, champagne, 289, 1045
12/27/11, 20, daughters b-day, 289, 1045
2/10/11, 15, son's b-day, 290, 1045
12/27/11, 15, daughter's b-day, 290, 1045
2/10/11, 20, son's b-day, 291, 1045
12/27/11, 20, daughter's b-day, 291, 1045
12/15/11, 55, 1 bottle of wine, 292, 1047
8 22 11, 100, various items of law school items (i.e. pen coffee cup; sweat shirt , 292, 1047
, , coffee cup; sweat ahert, 292, 1047
05/01/11, 1250, law firm retreat, 293, 1051
03 25 11, 300, charity dinner ticket, 293, 1051
12/01/11, 80, dinner, 294, 1051
12/13/11, 100, holiday party dinner, 295, 1051
04/04/11, 150, dinner, 296, 1051
12/20/11, 75.00, 3 bottles sofia wine, 297, 1055
6/25/11, 980, right (raffle prize), 298, 1060
09/21/11, 189.00, concert ticket, 299, 1062
01/  / 11, 200, gift card, 300, 1071
01 11, 175, pen, 300, 1071
01/ /11, 125, champagne, 301, 1071
01/  /11, 100.00, judge's dinner ticket, 302, 1074
01/12/11, 65, dinner, 13, 1083
06 09 11, 65, dinner, 13, 1083
09/27/11, 65, lunch, 13, 1083
12/06/11, 45, lunch, 13, 1083
08/27/11, 100, 1preseason game, 303, 1083
, , ticket/ refreshments, 303, 1083
11/03/11, 90, dinner, 29, 1083
11/11, 50, scarf, 304, 1084
1/19/11, 250.00, plaque meal, 14, 1088
7/20/11, 50.00, luncheon admission, 305, 1089
9/21/11, 50.00, luncheon admission, 305, 1089
11/16/11, 50.00, luncheon admission, 306, 1089
1/18/11, 250.00, artists rendering, 63, 1106
9/24/11, 300, non-profit fundraiser tix, 307, 1124
12/02/11, 150.00, santa claus inc. dine, 308, 1129
12/2/11, 150.00, santa claus dinner, 308, 1130
12/09/11, 150.00, dinner at holiday party, 309, 1150
, , with 250+ guests, 309, 1150
11/20/11, 100.00, dinner at party for non-, 310, 1150
, , profit heritage point, 310, 1150
11/09/11, 85.00, dinner, 311, 1150
2/18/11, 75, dinner, 312, 1160
1/12/11, 65, installation of officers cocktail party, 88, 1160
1/21/11, 45, mcle day lunch, 88, 1160
5/10/11, 45, women lawyers awards lunch, 88, 1160
3/31/11, 50, speech to group lunch, 313, 1160
6/9/11, 65, judges night + dinner, 88, 1160
9/27/11, 45, barristers annual lunch, 88, 1160
9/20/11, 45, diversity event cocktails appetizers, 88, 1160
4/12/11, 40, speech w/ lunch, 314, 1160
12/6/11, 45, women lawyers xmas lunch, 13, 1160
12/16/11, 45, family law xmas lunch, 13, 1160
7/12/11, 15, speech lunch-delisandwich, 44, 1160
11/3/11, 85, judge of the year dinner, 44, 1160
11/15/11, 100, gift certificate dewz restaurant, 315, 1161
11/15/11, 48, wine, 315, 1161
10/14/11, 49, wine, 316, 1161
10/14/11, 20-, cork holder, 316, 1161
, , meals @ cle events, 317, 1162
1/20/11, 300.00, artwork, 318, 1163
08/03/11, 69.50, padres ballgame, 319, 1163
03/08/11, 100.00, dinner, 320, 1163
11/16/11, 30, basketball game, 321, 1163
06/27/11, 63.00, padres ballgame, 322, 1163
, 4200.00, cash, 323, 1163
02/05/11, 400, fam. law rev course, 324, 1168
1/12/11, 65, dinner, 325, 1168
5/10/11, 47.50, lunch, 325, 1168
6/9/11, 65, dinner, 325, 1168
05/13/11, 45, lunch, 326, 1168
5/6/11, 55, lunch, 326, 1168
9/27/11, 65, lunch, 326, 1168
9/20/11, 50, lunch, 326, 1168
11/03/11, 100, dinner, 327, 1168
12/06/11, 45, lunch, 326, 1168
12/06/11, 30, hors d'oeuvres, 326, 1168
12/16/11, 75, lunch, 326, 1168
02/16/11, 100, dinner, 328, 1168
08/27/2011, 300.00, 2 preseason tickets + parking, 329, 1174
9/7/2011, 85.00, san mateo historical association dinner ticket, 132, 1174
, , dinner ticket honoring retireddistrict attorneys, 132, 1174
, , district attorney´s keith c. sorenson james p. fox, 132, 1174
9/27/2011, 65.00, judges lunch, 330, 1174
9/1/11, 200, tickets & food, 329, 1178
1/12/11, 65, bar installation, 13, 1178
6/9/11, 65, judges night, 13, 1178
12/16/11, 65, family law lunch, 13, 1178
9/27/11, 65, lunch honoring bench, 330, 1178
11/3/11, 90, dinner honoring bench, 331, 1178
12/6/11, 45, lunch honoring bench, 332, 1178
02/23/11, 50.00, dinner, 333, 1185
09/20/11, 50.00, cocktails (for 2), 333, 1185
02/28/11, 50.00, luncheon, 334, 1185
05/02/11, 50.00, luncheon, 334, 1185
10/24/11, 50.00, luncheon, 334, 1185
05/07/11, 100.00, dinner (for 2), 335, 1185
11/04/11, 200, 2dinners, 336, 1185
11/15/11, 150.00, charity dinner, 337, 1185
01/12/11, 75.00, installation reception, 13, 1224
11/03/11, 75.00, annual dinner, 29, 1224
06/09/11, 100.00, giant's game, 338, 1224
11/05/11, 170, play ticket to " hair", 339, 1224
06/06/11, 75.00, judges' reception, 13, 1224
05/27/11, 75.00, annual dinner, 340, 1224
01/12/11, 75.00, installation reception, 13, 1224
11/03/11, 75.00, annual dinner, 29, 1224
06/09/11, 100.00, giant's game, 338, 1224
11/05/11, 170, play ticket to " hair", 339, 1224
06/06/11, 75.00, judges' reception, 13, 1224
05/27/11, 75.00, annual dinner, 340, 1224
12/16/11, 300, party & lodging, 341, 1232
01/11, 100, annual dinner, 342, 1234
8/6/11, 150, group dinner, 343, 1252
11/5/10, 250, group dinner, 344, 1252
10/13/11, 125, group dinner, 345, 1252
5/7/11, 150.00, dinner for my wife, 346, 1255
, , and me for performing, 346, 1255
, , wedding, 346, 1255
, 250, dinners @ quarterly, 347, 1259
, , quarterly meetings, 347, 1259
, 250, lunches dinners receptions, 348, 1259
, , receptionswhere i was nota speaker, 348, 1259
, , a speaker/presenter, 348, 1259
10/6/11, 55.00, judges night/awards night, 7, 1291
, , awards night, 7, 1291
